GEOID,NAME,variable,estimate,moe
01,Alabama,B27010_002,1182663,6113
01,Alabama,B27010_003,1056481,10790
01,Alabama,B27010_010,88954,7493
01,Alabama,B27010_017,37228,4877
01,Alabama,B27010_018,1045315,9178
01,Alabama,B27010_019,790956,14617
01,Alabama,B27010_026,76030,6073
01,Alabama,B27010_033,178329,10850
01,Alabama,B27010_034,1870749,5638
01,Alabama,B27010_035,1412981,13803
01,Alabama,B27010_042,239584,10605
01,Alabama,B27010_050,218184,9305
01,Alabama,B27010_051,889898,3010
01,Alabama,B27010_052,306610,6976
01,Alabama,B27010_058,579761,7476
01,Alabama,B27010_066,3527,1189
02,Alaska,B27010_002,183084,1615
02,Alaska,B27010_003,146923,3930
02,Alaska,B27010_010,20770,3109
02,Alaska,B27010_017,15391,2352
02,Alaska,B27010_018,153714,3195
02,Alaska,B27010_019,108297,3517
02,Alaska,B27010_026,17408,2520
02,Alaska,B27010_033,28009,2774
02,Alaska,B27010_034,264728,2559
02,Alaska,B27010_035,200609,3987
02,Alaska,B27010_042,31926,3482
02,Alaska,B27010_050,32193,3492
02,Alaska,B27010_051,99985,1330
02,Alaska,B27010_052,27333,2343
02,Alaska,B27010_058,71272,2622
02,Alaska,B27010_066,1380,466
04,Arizona,B27010_002,1683061,4447
04,Arizona,B27010_003,1425099,14885
04,Arizona,B27010_010,116208,8104
04,Arizona,B27010_017,141754,10679
04,Arizona,B27010_018,1598831,6397
04,Arizona,B27010_019,1214145,14414
04,Arizona,B27010_026,100966,6799
04,Arizona,B27010_033,283720,10810
04,Arizona,B27010_034,2607834,4604
04,Arizona,B27010_035,2068586,16632
04,Arizona,B27010_042,228171,10624
04,Arizona,B27010_050,311077,11447
04,Arizona,B27010_051,1362198,1848
04,Arizona,B27010_052,550014,11191
04,Arizona,B27010_058,800023,11224
04,Arizona,B27010_066,12161,2373
05,Arkansas,B27010_002,739713,3915
05,Arkansas,B27010_003,641241,9057
05,Arkansas,B27010_010,54638,5570
05,Arkansas,B27010_017,43834,6241
05,Arkansas,B27010_018,618320,5699
05,Arkansas,B27010_019,485691,8071
05,Arkansas,B27010_026,39889,4060
05,Arkansas,B27010_033,92740,5646
05,Arkansas,B27010_034,1110034,5143
05,Arkansas,B27010_035,864551,9170
05,Arkansas,B27010_042,132335,5740
05,Arkansas,B27010_050,113148,6092
05,Arkansas,B27010_051,523132,2481
05,Arkansas,B27010_052,190290,6455
05,Arkansas,B27010_058,330421,6002
05,Arkansas,B27010_066,2421,1024
06,California,B27010_002,9016549,8856
06,California,B27010_003,8007702,21312
06,California,B27010_010,721446,19150
06,California,B27010_017,287401,13880
06,California,B27010_018,8677741,12728
06,California,B27010_019,7239929,24870
06,California,B27010_026,550714,16657
06,California,B27010_033,887098,19056
06,California,B27010_034,14799559,7970
06,California,B27010_035,12396737,32303
06,California,B27010_042,1153252,21467
06,California,B27010_050,1249570,26446
06,California,B27010_051,6054821,4560
06,California,B27010_052,2357777,21704
06,California,B27010_058,3629270,22552
06,California,B27010_066,67774,4830
08,Colorado,B27010_002,1285242,4734
08,Colorado,B27010_003,1129231,10281
08,Colorado,B27010_010,93827,7661
08,Colorado,B27010_017,62184,5652
08,Colorado,B27010_018,1339868,6364
08,Colorado,B27010_019,1108290,11767
08,Colorado,B27010_026,85065,6044
08,Colorado,B27010_033,146513,8887
08,Colorado,B27010_034,2220685,4719
08,Colorado,B27010_035,1847838,13108
08,Colorado,B27010_042,179319,8488
08,Colorado,B27010_050,193528,9552
08,Colorado,B27010_051,896568,2545
08,Colorado,B27010_052,377078,8226
08,Colorado,B27010_058,513190,8364
08,Colorado,B27010_066,6300,1552
09,Connecticut,B27010_002,780597,3955
09,Connecticut,B27010_003,703806,7977
09,Connecticut,B27010_010,52179,6064
09,Connecticut,B27010_017,24612,3914
09,Connecticut,B27010_018,738166,4882
09,Connecticut,B27010_019,627067,7635
09,Connecticut,B27010_026,42924,3990
09,Connecticut,B27010_033,68175,5004
09,Connecticut,B27010_034,1418603,3159
09,Connecticut,B27010_035,1224207,8199
09,Connecticut,B27010_042,107550,6660
09,Connecticut,B27010_050,86846,6742
09,Connecticut,B27010_051,644870,1809
09,Connecticut,B27010_052,254610,6703
09,Connecticut,B27010_058,384977,6951
09,Connecticut,B27010_066,5283,1423
10,Delaware,B27010_002,222571,1733
10,Delaware,B27010_003,195639,4463
10,Delaware,B27010_010,19444,3545
10,Delaware,B27010_017,7488,1982
10,Delaware,B27010_018,197612,2276
10,Delaware,B27010_019,165069,4789
10,Delaware,B27010_026,10956,1947
10,Delaware,B27010_033,21587,3732
10,Delaware,B27010_034,377038,1366
10,Delaware,B27010_035,313871,5304
10,Delaware,B27010_042,36976,3903
10,Delaware,B27010_050,26191,3545
10,Delaware,B27010_051,208330,690
10,Delaware,B27010_052,61409,3568
10,Delaware,B27010_058,145397,3823
10,Delaware,B27010_066,1524,602
11,District of Columbia,B27010_002,134213,1928
11,District of Columbia,B27010_003,125260,3221
11,District of Columbia,B27010_010,7079,1917
11,District of Columbia,B27010_017,1874,1196
11,District of Columbia,B27010_018,198983,2073
11,District of Columbia,B27010_019,180803,3320
11,District of Columbia,B27010_026,10927,2167
11,District of Columbia,B27010_033,7253,1654
11,District of Columbia,B27010_034,242930,1018
11,District of Columbia,B27010_035,213211,3522
11,District of Columbia,B27010_042,19948,3090
11,District of Columbia,B27010_050,9771,2035
11,District of Columbia,B27010_051,85299,409
11,District of Columbia,B27010_052,24584,2365
11,District of Columbia,B27010_058,60139,2460
11,District of Columbia,B27010_066,576,398
12,Florida,B27010_002,4540824,7822
12,Florida,B27010_003,3931705,20362
12,Florida,B27010_010,272703,14553
12,Florida,B27010_017,336416,17391
12,Florida,B27010_018,4265635,10543
12,Florida,B27010_019,3186210,21637
12,Florida,B27010_026,229440,10212
12,Florida,B27010_033,849985,17523
12,Florida,B27010_034,8406756,8747
12,Florida,B27010_035,6463063,26583
12,Florida,B27010_042,734576,17676
12,Florida,B27010_050,1209117,20985
12,Florida,B27010_051,4691032,4617
12,Florida,B27010_052,2024553,22384
12,Florida,B27010_058,2614272,22483
12,Florida,B27010_066,52207,5080
13,Georgia,B27010_002,2665201,9145
13,Georgia,B27010_003,2284290,17606
13,Georgia,B27010_010,214993,11703
13,Georgia,B27010_017,165918,10259
13,Georgia,B27010_018,2313621,12260
13,Georgia,B27010_019,1693532,17458
13,Georgia,B27010_026,151916,8777
13,Georgia,B27010_033,468173,15290
13,Georgia,B27010_034,4132203,10104
13,Georgia,B27010_035,3096228,22176
13,Georgia,B27010_042,432926,14852
13,Georgia,B27010_050,603049,16267
13,Georgia,B27010_051,1607025,4191
13,Georgia,B27010_052,622462,10237
13,Georgia,B27010_058,970487,10633
13,Georgia,B27010_066,14076,2430
15,Hawaii,B27010_002,311058,1416
15,Hawaii,B27010_003,268621,4673
15,Hawaii,B27010_010,33039,4095
15,Hawaii,B27010_017,9398,1909
15,Hawaii,B27010_018,259165,3325
15,Hawaii,B27010_019,217365,4520
15,Hawaii,B27010_026,23002,2204
15,Hawaii,B27010_033,18798,2852
15,Hawaii,B27010_034,523779,2214
15,Hawaii,B27010_035,443033,4803
15,Hawaii,B27010_042,61769,3775
15,Hawaii,B27010_050,18977,2403
15,Hawaii,B27010_051,289698,891
15,Hawaii,B27010_052,82357,4084
15,Hawaii,B27010_058,205681,4488
15,Hawaii,B27010_066,1660,700
16,Idaho,B27010_002,494290,3108
16,Idaho,B27010_003,421531,7085
16,Idaho,B27010_010,44385,5392
16,Idaho,B27010_017,28374,3836
16,Idaho,B27010_018,404743,4129
16,Idaho,B27010_019,319325,6864
16,Idaho,B27010_026,34881,3553
16,Idaho,B27010_033,50537,4563
16,Idaho,B27010_034,691263,3306
16,Idaho,B27010_035,546295,6775
16,Idaho,B27010_042,69408,4686
16,Idaho,B27010_050,75560,5536
16,Idaho,B27010_051,321655,1655
16,Idaho,B27010_052,117289,5233
16,Idaho,B27010_058,202199,5242
16,Idaho,B27010_066,2167,1217
17,Illinois,B27010_002,2879329,6423
17,Illinois,B27010_003,2593689,14965
17,Illinois,B27010_010,186671,12547
17,Illinois,B27010_017,98969,9101
17,Illinois,B27010_018,2653285,7793
17,Illinois,B27010_019,2232250,15597
17,Illinois,B27010_026,140261,7788
17,Illinois,B27010_033,280774,12060
17,Illinois,B27010_034,4780348,5259
17,Illinois,B27010_035,4012341,17803
17,Illinois,B27010_042,351180,8875
17,Illinois,B27010_050,416827,13611
17,Illinois,B27010_051,2100444,2496
17,Illinois,B27010_052,792437,11494
17,Illinois,B27010_058,1291342,12325
17,Illinois,B27010_066,16665,2171
18,Indiana,B27010_002,1665971,5212
18,Indiana,B27010_003,1461967,9975
18,Indiana,B27010_010,112587,7243
18,Indiana,B27010_017,91417,6653
18,Indiana,B27010_018,1450702,6919
18,Indiana,B27010_019,1182557,11259
18,Indiana,B27010_026,99670,6648
18,Indiana,B27010_033,168475,8565
18,Indiana,B27010_034,2504064,5488
18,Indiana,B27010_035,2075250,13917
18,Indiana,B27010_042,224830,9834
18,Indiana,B27010_050,203984,9241
18,Indiana,B27010_051,1116833,3358
18,Indiana,B27010_052,428254,9071
18,Indiana,B27010_058,682993,9125
18,Indiana,B27010_066,5586,1364
19,Iowa,B27010_002,762390,3557
19,Iowa,B27010_003,664049,5624
19,Iowa,B27010_010,69943,4794
19,Iowa,B27010_017,28398,3305
19,Iowa,B27010_018,669504,4843
19,Iowa,B27010_019,561415,6416
19,Iowa,B27010_026,56309,3699
19,Iowa,B27010_033,51780,3832
