GEOID,NAME,variable,estimate,moe
01,Alabama,B27010_002,1154392,5402
01,Alabama,B27010_003,1048998,8898
01,Alabama,B27010_010,65234,5814
01,Alabama,B27010_017,40160,3774
01,Alabama,B27010_018,997879,7887
01,Alabama,B27010_019,746622,11023
01,Alabama,B27010_026,61052,5684
01,Alabama,B27010_033,190205,9163
01,Alabama,B27010_034,1835404,6650
01,Alabama,B27010_035,1380650,13912
01,Alabama,B27010_042,219973,9498
01,Alabama,B27010_050,234781,8548
01,Alabama,B27010_051,834839,4185
01,Alabama,B27010_052,252739,7784
01,Alabama,B27010_058,578345,7681
01,Alabama,B27010_066,3755,1250
02,Alaska,B27010_002,190002,1646
02,Alaska,B27010_003,151819,4070
02,Alaska,B27010_010,20324,3438
02,Alaska,B27010_017,17859,2452
02,Alaska,B27010_018,157890,3134
02,Alaska,B27010_019,108499,3808
02,Alaska,B27010_026,16123,2264
02,Alaska,B27010_033,33268,3196
02,Alaska,B27010_034,268945,3220
02,Alaska,B27010_035,205468,4232
02,Alaska,B27010_042,29162,2715
02,Alaska,B27010_050,34315,3100
02,Alaska,B27010_051,88935,1953
02,Alaska,B27010_052,25160,2153
02,Alaska,B27010_058,63030,2683
02,Alaska,B27010_066,745,506
04,Arizona,B27010_002,1744282,4616
04,Arizona,B27010_003,1480402,12010
04,Arizona,B27010_010,102550,6114
04,Arizona,B27010_017,161330,10380
04,Arizona,B27010_018,1539653,6642
04,Arizona,B27010_019,1174963,13014
04,Arizona,B27010_026,85312,6087
04,Arizona,B27010_033,279378,11071
04,Arizona,B27010_034,2587035,4381
04,Arizona,B27010_035,2015479,14797
04,Arizona,B27010_042,213846,8215
04,Arizona,B27010_050,357710,12915
04,Arizona,B27010_051,1294934,2608
04,Arizona,B27010_052,482607,8563
04,Arizona,B27010_058,802102,8238
04,Arizona,B27010_066,10225,2052
05,Arkansas,B27010_002,740911,4316
05,Arkansas,B27010_003,657060,7070
05,Arkansas,B27010_010,40456,4529
05,Arkansas,B27010_017,43395,5199
05,Arkansas,B27010_018,608903,6861
05,Arkansas,B27010_019,474068,8948
05,Arkansas,B27010_026,34507,3568
05,Arkansas,B27010_033,100328,7035
05,Arkansas,B27010_034,1105134,5069
05,Arkansas,B27010_035,858218,9772
