GEOID,NAME,variable,estimate,moe
12,Florida,B27010_002,4647684,7933
12,Florida,B27010_003,4003628,20901
12,Florida,B27010_010,293516,15141
12,Florida,B27010_017,350540,14897
12,Florida,B27010_018,4248306,10011
12,Florida,B27010_019,3171603,25056
12,Florida,B27010_026,248342,12780
12,Florida,B27010_033,828361,20640
12,Florida,B27010_034,8564857,9150
12,Florida,B27010_035,6641747,29772
12,Florida,B27010_042,767236,20597
12,Florida,B27010_050,1155874,24397
12,Florida,B27010_051,4815550,4268
12,Florida,B27010_052,2112527,22114
12,Florida,B27010_058,2656401,21965
12,Florida,B27010_066,46622,4422
13,Georgia,B27010_002,2683625,6593
13,Georgia,B27010_003,2297138,16418
13,Georgia,B27010_010,215350,11759
13,Georgia,B27010_017,171137,10579
13,Georgia,B27010_018,2326038,10194
13,Georgia,B27010_019,1684792,16650
13,Georgia,B27010_026,162901,9076
13,Georgia,B27010_033,478345,13953
13,Georgia,B27010_034,4157940,9965
13,Georgia,B27010_035,3154436,18066
13,Georgia,B27010_042,437692,11967
13,Georgia,B27010_050,565812,13722
13,Georgia,B27010_051,1665226,5177
13,Georgia,B27010_052,669257,13166
13,Georgia,B27010_058,977914,12944
13,Georgia,B27010_066,18055,2300
15,Hawaii,B27010_002,309837,1641
15,Hawaii,B27010_003,267052,5039
15,Hawaii,B27010_010,33611,4170
15,Hawaii,B27010_017,9174,2144
15,Hawaii,B27010_018,249575,2925
15,Hawaii,B27010_019,213736,4070
15,Hawaii,B27010_026,21649,2518
15,Hawaii,B27010_033,14190,2296
15,Hawaii,B27010_034,520454,2930
15,Hawaii,B27010_035,436670,4998
15,Hawaii,B27010_042,64282,4496
15,Hawaii,B27010_050,19502,2600
15,Hawaii,B27010_051,298296,651
15,Hawaii,B27010_052,82881,4458
15,Hawaii,B27010_058,213948,4480
15,Hawaii,B27010_066,1467,823
16,Idaho,B27010_002,497244,3115
16,Idaho,B27010_003,423726,6704
16,Idaho,B27010_010,40749,4814
16,Idaho,B27010_017,32769,4188
16,Idaho,B27010_018,407298,4074
16,Idaho,B27010_019,312314,6297
16,Idaho,B27010_026,35560,2902
16,Idaho,B27010_033,59424,5111
16,Idaho,B27010_034,699661,3485
